city,currency_code,local_price,dollar_ex,dollar_price,boba_index
Tokyo,JPY,900,150.62,5.97530208471651,-0.04395
Sydney,AUD,10.3,1.61,6.39751552795031,0.0236
Beijing,CNY,20,7.28,2.74725274725275,-0.56044
Taipei,TWD,70,32.92,2.12636695018226,-0.65978
New York,USD,6.25,1,6.25,0
Los Angeles,USD,6,1,6,-0.04
London,GBP,6.21,0.8,7.7625,0.242
Singapore,SGD,6.6,1.35,4.88888888888889,-0.21778
Mexico City,MXN,108,20.55,5.25547445255474,-0.15912
Seoul,KRW,6300,1461.8,4.30975509645642,-0.31044
Manila,PHP,125,57.94,2.15740421125302,-0.65482
